aa_objects.object_number,aa_tracks.track_num,aa_detections.image_file,aa_detections.mid_det_utc,aa_detections.mid_det_et,aa_detections.ra,aa_detections.dec,aa_detections.ra_sig,aa_detections.dec_sig,aa_detections.mag,aa_detections.mag_sig,aa_detections.snr,aa_detections.psf_fit_quality,aa_detections.is_saturated,aa_detections.q_code,aa_detections.possible_hot_pixel,aa_detections.possible_star,aa_detections.occulting
3,38,20190118T125618S879_ncm_L0.fits,2019-01-18T12:56:21.379Z,601088250.563418,280.85787190072,59.1160481399158,0.00501398612767698,0.00232738774511114,4.564567129356579,0.11032664146282,12.6691803626701,0.833035038719189,0,5,0,0,0
3,38,20190118T123335S222_ncm_L0.fits,2019-01-18T12:33:37.722Z,601086886.906418,278.907432017415,56.1638827722039,0.00414501312289877,0.00237598335982702,4.4925778804451895,0.119517739196529,11.1647244822598,1.0550746700593898,0,5,0,0,0
3,38,20190118T120334S924_ncm_L0.fits,2019-01-18T12:03:37.424Z,601085086.608417,278.652049405607,51.6231656820614,0.00357803982415113,0.0021925539588739103,4.463696156406289,0.11136883288140201,12.4744662791779,1.19083157241976,0,5,0,0,0
3,38,20190118T113334S852_ncm_L0.fits,2019-01-18T11:33:37.352Z,601083286.536417,280.40683039374005,46.7046502936731,0.00285414094641589,0.00193480451627027,4.36239937772625,0.100543531351793,14.9402317890645,0.489792958752446,0,5,0,0,0
3,38,20190118T110334S679_ncm_L0.fits,2019-01-18T11:03:37.179Z,601081486.363416,283.62317849676305,41.6575236826359,0.00305630141346173,0.00223617767498104,4.64172034778769,0.116295593586832,11.642249349431099,16.115089423035897,0,5,0,0,0
3,38,20190118T103335S205_ncm_L0.fits,2019-01-18T10:33:37.705Z,601079686.889416,287.951971980663,36.68109699800549,0.00289241794194677,0.0023399953215200303,4.6711591457899795,0.118872731625325,11.2566178748665,0.615284645367254,0,5,0,0,0
3,38,20190118T100334S950_ncm_L0.fits,2019-01-18T10:03:37.450Z,601077886.634415,293.188994859175,31.9971505021013,0.00294670456506497,0.0022649560134158702,4.735344451869249,0.12151203480028999,10.8913416259237,0.7157993177989079,0,5,0,0,0
3,38,20190118T095618S942_ncm_L0.fits,2019-01-18T09:56:21.442Z,601077450.626415,294.56443062392606,30.9418651512601,0.00310065976766172,0.00221275676797491,4.59291612643261,0.11397288100026999,12.017663839616699,0.940793592285008,0,5,0,0,0
3,38,20190118T093335S116_ncm_L0.fits,2019-01-18T09:33:37.616Z,601076086.800414,299.225325713568,27.875015481736597,0.00299899440117666,0.0025648767986845202,4.581294068322309,0.114532591640936,11.924595327955,1.2117028085782398,0,2,0,1,0
3,38,20190118T092619S077_ncm_L0.fits,2019-01-18T09:26:21.577Z,601075650.761414,300.786640253492,27.0093639969271,0.00337403208745192,0.00260770368659929,4.65556469284491,0.123496385611782,10.6342995433512,0.698816205750311,0,5,0,0,0
3,38,20190118T090334S771_ncm_L0.fits,2019-01-18T09:03:37.271Z,601074286.455414,306.015191749847,24.679663385584,0.0034242271398906704,0.0031917779072917203,4.76464045929087,0.139840601491649,8.946412402453921,0.873139820251383,0,4,0,0,0
3,38,20190118T085619S228_ncm_L0.fits,2019-01-18T08:56:21.728Z,601073850.912414,307.754383284336,24.101693519189197,0.00325944674001336,0.00286240614628626,4.54669611544212,0.126577620867334,10.2617612648164,1.42473009066955,0,4,0,0,0
